name,description,id,release_date,duration_ms
ChatGPT e AI Generativa - Data Hackers Podcast 66,"Todo mundo falando sobre ChatGPT, e nós do Data Hackers — a maior comunidade de AI e Data Science do Brasil -, selecionamos os masters sobre o assunto, para falar neste episódio sobre o potencial das linguagens naturais: ChatGPT, LLMs e AI Generativa. E para este papo, chamamos o Hallison Paz, pesquisador em AI Graphics, Doutorando no IMPA & Co-fundador do Canal Programação Dinâmica; e o João Xavier , Product Manager Specialist na Hotmart e Co-fundador do Aimbly; que vão contar tudo sobre ChatGPT, A.I. Generativa, LLMs e muito mais.  Conheça nossos convidados: Linkedin Hallison Paz Linkedin João Xavier   Post do Episódio: https://medium.com/data-hackers/chatgpt-e-ai-generativa-data-hackers-podcast-66-8851a97af577",6XSWiqsRLug9vjnaSjThXe,2023-04-28,5015353
A massiva Plataforma de Dados no Itaú - Data Hackers Podcast 64,"Que tal conhecer como o Itaú consegue criar uma plataforma de dados poderosa para suportar os mais de 26 terabytes de dados que chegam de seus mais de 65 milhões de clientes? Nesse episódio de hoje, entramos a fundo no Itaú para entender como eles lidam com esse desafio e suportam esse crescimento. Para esse papo, chamamos o Moisés Nascimento (Chief Data Officer), a Priscila Cardoso (Superintendente de Gestão de Dados) e o Roberto Figueira (Head de Engenharia da plataforma de Dados) para nos contar tudo sobre a Data Platform do Itaú.  Conheça nossos convidados: Linkedin do Moisés Nascimento: https://www.linkedin.com/in/monascimento/ Linkedin da Priscila Cardoso: https://www.linkedin.com/in/priscilacf/ Linkedin do Roberto Figueira: https://www.linkedin.com/in/roberto-figueira-santos-filho-55225b3/ Post do episódio: https://medium.com/data-hackers/a-massiva-plataforma-de-dados-do-ita%C3%BA-data-hackers-podcast-64-db81df4a603b ",7HXT8mbrVTyhZ5kR0L7goF,2023-03-10,4012904
Os maiores cases de Data Science no Grupo Boticário - Data Hackers Podcast 63,"Convidamos o Grupo Boticário para contar como está aplicando na prática modelos de Data Science no varejo.  O time de Data Science compartilhou com a gente alguns cases de modelos de recomendação para o ecommerce, como trabalham com os vendedores trazendo ferramentas para que eles vendam mais. Os projetos que trouxeram para demonstrar um pouco de como trabalham com dados foram: o BotiEssence, que faz sugestão de produtos pro consumidor final; o BotiColorista, que faz classificação de tendências de cores; e o projeto Lyra iniciativa para tornar os processos do time de performance de produto mais data-driven. Consiste em entregas de soluções de Data Science e BI para áreas como Estabilidade e Segurança de Formulações, Ecotoxicidade, Ciências do Consumidor, Tecnologia de Materiais e Cosmetovigilância. Os resultados do State of Data Brasil já está no ar! Trata-se do maior mapeamento do mercado de dados no Brasil.  Para fazer o download do relatório clique aqui. Conheça nossos convidados Linkedin do Carlos Fonseca Linkedin da Giuliana de Jong Linkedin do Raphael Corrêa",0gyuotFso7mRZVzwgonIJZ,2023-02-13,3578174
"RFC, ADR e Postmortem: a documentação técnica - Staff+ Podcast 05","No primeiro episódio de 2023 do Staff+ Podcast, Paulo Vasconcellos, Flávio Clésio e Marlesson Santana conversam com um convidado mais do que especial que é o Marco Aurelio Ribeiro (carinhosamente conhecido como Matador) sobre Documentação Tecnica; em especial sobre RFCs (Request for Comments — Requisição para Comentários), ADR (Architecture Design Record — Registro de Decisões Arquiteturais) e Revisão de Incidentes. Nosso convidado: Linkedin do Marco Aurélio Acesse nosso post do Medium para acesso as referências:  https://medium.com/data-hackers/documenta%C3%A7%C3%A3o-tecnica-staff-podcast-05-a2701075b334",20rxcV3zcWIZHGhZi4iYm9,2023-02-03,4995918
As Tendências para Dados e AI em 2023 - Episódio 62,"Chegou aquele momento do ano em que vamos tentar prever o que será tendência em Dados e AI para o ano de 2023! Será que AI generativas ainda estarão em alta? E salários, hein? Vem com a gente pra esse papo com nossos community managers Mario Filho e Pietro Oliveira. Acesse o post para acessar as referências do episódio: https://medium.com/data-hackers/as-tend%C3%AAncias-para-dados-e-ai-em-2023-data-hackers-podcast-62-2dff6fdddb6e",4tzfcC41OZa5mvLIjZ9dKG,2023-01-22,3619578
Liderando times de Dados -  Data Hackers Podcast 61,"Convidamos alguns dos maiores especialistas em gestão de times de dados do Brasil para compartilhar as estratégias de formação e liderança de equipes de dados prontos para encarar os desafios da atualidade. Conheça nossos participantes:   Philipp Nguyen - Director of Data at Grupo Boticário  Lucas Brossi - Head of Advanced Analytics for South America na Bain & Company   Andrea Suman - CDO Chief Data Officer no Hospital Israelita Albert Einstein  Se você é um líder de dados, se pensa em se tornar um líder ou simplesmente quer saber mais sobre o tema, vai curtir muito esse episódio. Hoje convidamos alguns dos maiores especialistas em gestão de equipes de dados no Brasil para um papo exclusivo sobre liderança de equipes de dados diante dos desafios atuais das empresas! No podcast falamos de descentralização de equipes de dados, desafios de crescimento das equipes e das empresas, dicas para quem quer se tornar um gestor e muito mais. Vale a pena conferir, a conversa está sensacional! Acesse o nosso Medium para acessar todas as referências e links do episódio: https://medium.com/data-hackers",7pASdhuqTbNW69qukx1Dfb,2022-12-04,4299102
Como pedir e fazer mentorias - Staff+ Podcast 04 ,"No quarto episódio do Staff+ Podcast, Paulo Vasconcellos, Flávio Clésio e Marlesson Santana falam sobre um assunto importante e pouco comentado que é a prática de receber e oferecer mentorias. Falamos sobre os desafios para mentores e mentorados, e e como estar em qualquer um desses papeis é crucial para o caminho para o Staff+ Engineering. Discutimos as características e atributos de cada um dos papeis, a arte de escutar durante uma mentoria, como culturas de engenharia que estimulam mentorias colaboram com o crescimento profissional de todos, e também qual é o melhor momento para se encerrar a mentoria. Vem ouvir!",3RZPCeQYLMaMLHyWQlpfQZ,2022-11-21,3359242
O que é e para que serve MLOps? - Data Hackers Podcast 60,"Se você quer conhecer sobre a área que está ajudando time de data science e machine learning a colocar seus modelos em produção de forma sustentável e escalável, esse episódio é para você. Hoje nós vamos falar sobre Machine Learning Operations, o MLOps! Para essa conversa nós convidamos nossos amigos da ThoughtWorks para explicar os desafios e necessidades em criar uma cultura de MLOps. Participaram desse papo os Machine Learning Engineers Eduardo Santos e Wilder Barbosa Galvão. Vem ouvir! Conheça nossos convidados Linkedin do Eduardo Santos Linkedin do Wilder Barbosa Galvão Falmos no episódio Confira o post no Medium: https://medium.com/data-hackers/o-que-%C3%A9-e-para-que-serve-mlops-data-hackers-podcast-60-4bbb0acca03f",1JlNxcHMPhpzpT8bpzLMo6,2022-11-04,3876884
Modern Data Stack no Grupo Boticário - Data Hackers Podcast 59,"A Modern Data Stack é uma das maiores tendências na área de dados. O termo se tornou famoso por ser uma abordagem que empresas podem utilizar para se adequar rapidamente a mudanças, não só de negócios, mas do mercado em si, plugando soluções que resolvem diferentes etapas do dado nas empresas, da coleta a documentação. E, para nos contar como é aplicar os conceitos da Modern Data Stack de forma bem prática no dia a dia, convidamos nossos amigos do Grupo Boticário para esse papo. Vem conferir! Participe do State of Data Brazil, a maior pesquisa do mercado de dados no Brasil: https://www.stateofdata.com.br/ Conheça nossos participantes: Linkedin do Igor Vieira Linkedin do Rafael Ubertini Linkedin do Marcus Guidoti Acesse o post no Medium para acessar todas as referências do episódio:  https://medium.com/data-hackers/o-que-%C3%A9-a-modern-data-stack-data-hackers-podcast-59-a084bf351016",03o6RORhWtVcYHRpB1Fa1w,2022-10-24,3835663
Empregos que serão substituídos por AI - Data Hackers Podcast 58,"Para cada novo avanço da inteligência artificial no mundo, existem pelo menos 100 pessoas preocupadas se serão substituídas por robôs. No episódio de hoje, discutimos sobre os avanços de IA e quais profissões pode estar suscetíveis a serem substituídas. Será que a gente de tecnologia está fora dessa zona de perigo? Acesse o post do episódio para ter acesso aos links: https://medium.com/data-hackers/os-empregos-que-ser%C3%A3o-substitu%C3%ADdos-por-ai-data-hackers-podcast-58-4879852c107d",4Qw38VL42lD04N39PD2qF3,2022-09-23,3370083
